descricao,categoria
Almocei em um restaurante perto do trabalho,Alimentação
Jantar em família no restaurante,Alimentação
Lanche rápido na cafeteria,Alimentação
Pizza delivery à noite,Alimentação
Café da manhã na padaria,Alimentação
Sanduíche no intervalo da faculdade,Alimentação
Almoço executivo na praça de alimentação,Alimentação
Pastel e caldo de cana na feira,Alimentação
Hambúrguer artesanal na lanchonete,Alimentação
Sorvete de sobremesa após almoço,Alimentação
Pizza no final de semana,Alimentação
Sushi com amigos à noite,Alimentação
Churrasco de domingo em casa,Alimentação
Jantar italiano com vinho,Alimentação
Feijoada tradicional no sábado,Alimentação
Refeição rápida no food truck,Alimentação
Crepe doce após cinema,Alimentação
Brunch especial de domingo,Alimentação
Rodízio de comida japonesa,Alimentação
Almoço saudável com salada,Alimentação
Comida mexicana no restaurante,Alimentação
Doces artesanais da confeitaria,Alimentação
Açaí no fim da tarde,Alimentação
Massas italianas no almoço,Alimentação
Frango assado de domingo,Alimentação
Lasanha caseira,Alimentação
Jantar vegetariano no centro,Alimentação
Bolo e café à tarde,Alimentação
Hambúrguer com amigos após jogo,Alimentação
Comida chinesa para jantar,Alimentação
Batata frita e refrigerante,Alimentação
Salgado na lanchonete,Alimentação
Pipoca no cinema,Alimentação
Empanada argentina na rua,Alimentação
Risoto em restaurante gourmet,Alimentação
Jantar árabe com esfihas,Alimentação
Comida caseira da vovó,Alimentação
Chá da tarde com biscoitos,Alimentação
Sanduíche natural após academia,Alimentação
Bolo de aniversário,Alimentação
Comida indiana à noite,Alimentação
Tapioca no café da manhã,Alimentação
Almoço vegano,Alimentação
Milkshake depois do trabalho,Alimentação
Frutos do mar no litoral,Alimentação
Coxinha e pastel de lanche,Alimentação
Macarronada em casa,Alimentação
Mousse de chocolate,Alimentação
Panqueca americana de manhã,Alimentação
Abasteci o carro no posto,Transporte
Uber para o trabalho,Transporte
Comprei passagem de ônibus,Transporte
Troca de óleo do carro,Transporte
Bilhete mensal do metrô,Transporte
Passagem aérea para São Paulo,Transporte
Manutenção preventiva do carro,Transporte
Compra de pneu novo,Transporte
Lavagem completa do carro,Transporte
Corrida de táxi,Transporte
Seguro automotivo mensal,Transporte
Aluguel de carro para viagem,Transporte
Estacionamento mensal,Transporte
Pedágio para viagem,Transporte
Revisão periódica do carro,Transporte
Bicicleta nova para deslocamento,Transporte
Corrida de aplicativo após festa,Transporte
Reparos no motor do carro,Transporte
Passe mensal para trem,Transporte
Viagem de ônibus para o interior,Transporte
Combustível para viagem longa,Transporte
Compra de peças automotivas,Transporte
Reboque emergencial,Transporte
Assinatura mensal de estacionamento,Transporte
Viagem de trem para outra cidade,Transporte
Combustível semanal,Transporte
Transporte escolar mensal,Transporte
Pagamento de multa de trânsito,Transporte
Aluguel de patinete elétrico,Transporte
Compra de capacete para moto,Transporte
